Year,Station,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2001,Dhaka,4,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,4,0,
2001,Dhaka,5,18,0,48,10,6,4,0,71,52,8,32,0,0,0,0,0,0,0,0,6,40,0,27,7,0,0,23,0,0,49,1
2001,Dhaka,6,17,0,5,20,16,61,10,23,0,7,0,18,4,6,49,6,59,6,16,29,11,1,0,0,0,0,3,9,1,9,
2001,Dhaka,7,40,0,1,0,0,0,0,1,0,1,3,8,11,15,0,0,0,2,0,0,21,4,12,1,12,26,5,4,10,23,2
2001,Dhaka,8,45,0,13,0,12,9,0,5,58,0,4,5,1,5,0,5,2,6,0,10,1,0,4,1,3,10,1,1,0,4,0
2001,Dhaka,9,13,6,0,0,0,0,15,0,19,10,2,11,1,23,0,0,2,54,7,0,0,0,0,19,25,0,0,0,0,2,
2001,Dhaka,10,7,3,14,13,10,6,0,0,11,6,0,0,0,8,10,1,1,21,54,0,0,0,0,0,0,0,0,1,0,0,11
2001,Dhaka,11,0,0,0,0,0,0,3,1,0,0,1,6,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,
2001,Dhaka,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Dhaka,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,5,1,0
2002,Dhaka,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,,,
2002,Dhaka,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,15,8,12,0,0,0
2002,Dhaka,4,0,0,23,10,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,25,
